4
#index x y z vx vy vz
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2060003389201.2102 0.030004 0.0 5030.0018 0.0004 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2064429143267.576 597196903.6442524 0.0 20582.001795782857 3456.000399419017 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2074229668529.9622 2388787406.97355 0.0 36134.00178009194 6912.00039855149 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2089404964986.9285 5374771510.541345 0.0 51686.001764401015 10368.000402631615 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2109955032638.47 9555149216.3388 0.0 67238.0017487101 13824.000409622122 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2135879871484.5884 14929920524.552153 0.0 82790.00173301918 17280.000416612627 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2167179481525.287 21499085435.18145 0.0 98342.00171732825 20736.000423603135 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2203853862760.5874 29262643948.226604 0.0 113894.00170163733 24192.00043059364 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2245903015190.4395 38220596063.687744 0.0 129446.00168594641 27648.00043758415 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2293326938814.864 48372941781.56476 0.0 144998.0016702555 31104.000444574656 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2346125633633.868 59719681100.397255 0.0 160550.00165456458 34560.000435267015 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2404299099647.4487 72260814012.04192 0.0 176102.00163887365 38016.000410825385 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2467847336855.6035 85996340515.2401 0.0 191654.00162318273 41472.000386383756 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2536770345258.3384 100926260609.99095 0.0 207206.0016074918 44928.000361942126 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2611068124855.661 117050574296.29466 0.0 222758.0015918009 48384.000337500496 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2690740675647.558 134369281574.1513 0.0 238310.00157610996 51840.00031305887 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2775787997634.0312 152882382443.56055 0.0 253862.00156041904 55296.00028861724 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2866210090824.5786 172589876904.52277 0.0 269414.0016622753 58752.00026417561 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2962006955284.2783 193491764957.03775 0.0 284966.00189804146 62208.00023973398 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 3063178591025.4624 215588046601.1202 0.0 300518.00213380763 65664.00021762066 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 3169724998048.125 238878721848.40933 0.0 316070.0023695738 69120.0002560433 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 3281646176352.272 263363790708.97726 0.0 331622.00260534 72576.00029446595 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 3398942125937.8994 289043253182.8246 0.0 347174.00284110615 76032.0003328886 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 3521612846804.9995 315917109269.95 0.0 362726.0030768723 79488.00037131124 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 3649658338953.588 343985358970.355 0.0 378278.0033126385 82944.00040973388 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 3783078602383.6562 373248002284.0385 0.0 393830.00354840467 86400.00044815653 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 3921873637095.2075 403705039211.0006 0.0 409382.00378417084 89856.00048657917 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 4066043443088.2373 435356469751.24225 0.0 424934.004019937 93312.00052500181 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 4215588020362.7495 468202293904.7617 0.0 440486.0042557032 96768.00056342446 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 4370507368918.742 502242511671.5607 0.0 456038.00449146936 100224.0006018471 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 4530801488756.227 537477123051.63837 0.0 471590.00472723553 103680.00064026975 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 4696470379875.195 573906128044.9951 0.0 487142.0049630017 107136.00067869239 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 4867514042275.614 611529526651.6309 0.0 502694.0051987679 110592.00071711504 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 5043932475957.532 650347318871.5458 0.0 518246.00543453405 114048.00075553768 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 5225725680888.424 690359504704.7382 0.0 533798.0053627696 117504.00079396032 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 5412893656940.131 731566084151.2102 0.0 549350.0050956216 120960.00083238297 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 5605436404099.472 773967057210.9612 0.0 564902.0048284736 124416.00087080561 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 5803353922366.534 817562423883.9908 0.0 580454.0045613255 127872.00090922826 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 6006646211741.214 862352184170.1803 0.0 596006.0042941775 131328.00093833765 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 6215313272223.633 908336338044.8229 0.0 611558.0040270295 134784.00085103174 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 6429355103813.664 955514885489.2941 0.0 627110.0037598815 138240.00076372584 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 6648771706511.415 1003887826503.5898 0.0 642662.0034927335 141696.00067641994 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 6873563080316.802 1053455161087.7148 0.0 658214.0032255854 145152.00058911403 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 7103729225229.9 1104216889241.6646 0.0 673766.0029584374 148608.00050180813 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 7339270141250.646 1156173010965.4392 0.0 689318.0026912894 152064.00041450222 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 7580185828379.073 1209323526259.05 0.0 704870.0024241414 155520.00032719632 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 7826476286615.175 1263668435122.4841 0.0 720422.0021569934 158976.00023989042 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 8078141515958.949 1319207737555.7424 0.0 735974.0018898454 162432.00015258451 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 8335181516410.402 1375941433558.8257 0.0 751526.0016226973 165888.0000652786 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 8597596287969.517 1433869523131.7441 0.0 767078.0013555493 169343.9999779727 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 8865385830636.229 1492992006274.4858 0.0 782630.0010884013 172799.9998906668 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 9138550144410.74 1553308882987.0498 0.0 798182.0008212533 176255.9998033609 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 9417089229292.885 1614820153269.441 0.0 813734.0005541053 179711.999716055 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 9701003085282.662 1677525817121.6687 0.0 829286.0002869572 183167.9996287491 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 9990291712380.145 1741425874543.721 0.0 844838.0000198092 186623.9995414432 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 10284955110585.352 1806520325535.5974 0.0 860389.9997526612 190079.9994541373 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
