4
#index x y z vx vy vz
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2060000000201.2102 0.02999999999999994 0.0 5029.999999999971 -5.826014300775031e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2061738369888.7102 0.029999997721822342 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2063476739576.2102 0.029999995443644695 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2065215109263.7102 0.02999999316546705 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2066953478951.2102 0.029999990887289402 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2068691848638.7102 0.029999988609111756 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2070430218326.2102 0.02999998633093411 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2072168588013.7102 0.029999984052756463 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2073906957701.2102 0.029999981774578816 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2075645327388.7102 0.02999997949640117 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2077383697076.2102 0.029999977218223523 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2079122066763.7102 0.029999974940045877 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2080860436451.2102 0.02999997266186823 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2082598806138.7102 0.029999970383690584 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2084337175826.2102 0.029999968105512937 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2086075545513.7102 0.02999996582733529 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2087813915201.2102 0.029999963549157644 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2089552284888.7102 0.029999961270979997 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2091290654576.2102 0.02999995899280235 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2093029024263.7102 0.029999956714624704 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2094767393951.2102 0.029999954436447058 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2096505763638.7102 0.02999995215826941 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2098244133326.2102 0.029999949880091765 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2099982503013.7102 0.02999994760191412 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2101720872701.2102 0.029999945323736472 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2103459242388.7102 0.029999943045558825 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2105197612076.2102 0.02999994076738118 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2106935981763.7102 0.029999938489203532 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2108674351451.2102 0.029999936211025886 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2110412721138.7102 0.02999993393284824 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2112151090826.2102 0.029999931654670593 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2113889460513.7102 0.029999929376492946 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2115627830201.2102 0.0299999270983153 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2117366199888.7102 0.029999924820137653 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2119104569576.2102 0.029999922541960006 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2120842939263.7102 0.02999992026378236 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2122581308951.2102 0.029999917985604713 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2124319678638.7102 0.029999915707427067 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2126058048326.2102 0.02999991342924942 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2127796418013.7102 0.029999911151071774 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2129534787701.2102 0.029999908872894127 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2131273157388.7102 0.02999990659471648 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2133011527076.2102 0.029999904316538834 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2134749896763.7102 0.029999902038361188 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2136488266451.2102 0.02999989976018354 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2138226636138.7102 0.029999897482005895 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2139965005826.2102 0.029999895203828248 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2141703375513.7102 0.0299998929256506 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2143441745201.2102 0.029999890647472955 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2145180114888.7102 0.02999988836929531 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2146918484576.2102 0.029999886091117662 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2148656854263.7102 0.029999883812940015 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
4 2150395223951.2102 0.02999988153476237 0.0 5029.999999999961 -6.5166264696707154e-15 0.0
1 0 0 0 0.0 0.0 0.0
2 2060000000000.0 0 0 0.0 0.0 0.0
3 3562864567816.39 13725100949406.48 0 0.0 0.0 0.0
